t,x,xHat
0,0,0.125
0.031415926535897934,0.03141075907812829,0.125
0.06283185307179587,0.06279051952931337,0.125
0.0942477796076938,0.09410831331851433,0.125
0.12566370614359174,0.12533323356430426,0.125
0.15707963267948966,0.15643446504023087,0.125
0.18849555921538758,0.1873813145857246,0.125
0.2199114857512855,0.2181432413965425,0.125
0.2513274122871834,0.24868988716485474,0.125
0.28274333882308134,0.2789911060392292,0.375
0.31415926535897926,0.30901699437494734,0.375
0.3455751918948772,0.3387379202452913,0.375
0.3769911184307751,0.36812455268467786,0.375
0.408407044966673,0.3971478906347805,0.375
0.43982297150257094,0.42577929156507255,0.375
0.47123889803846886,0.4539904997395467,0.375
0.5026548245743668,0.4817536741017152,0.375
0.5340707511102648,0.5090414157503713,0.625
0.5654866776461628,0.5358267949789967,0.625
0.5969026041820608,0.5620833778521306,0.625
0.6283185307179587,0.5877852522924732,0.625
0.6597344572538567,0.6129070536529766,0.625
0.6911503837897547,0.6374239897486899,0.625
0.7225663103256527,0.661311865323652,0.625
0.7539822368615506,0.6845471059286888,0.625
0.7853981633974486,0.7071067811865477,0.625
0.8168140899333466,0.7289686274214118,0.625
0.8482300164692446,0.7501110696304598,0.875
0.8796459430051425,0.7705132427757895,0.875
0.9110618695410405,0.7901550123756906,0.875
0.9424777960769385,0.8090169943749478,0.875
0.9738937226128365,0.8270805742745622,0.875
1.0053096491487343,0.8443279255020154,0.875
1.0367255756846323,0.8607420270039439,0.875
1.0681415022205303,0.8763066800438639,0.875
1.0995574287564283,0.8910065241883681,0.875
1.1309733552923262,0.9048270524660198,0.875
1.1623892818282242,0.9177546256839815,0.875
1.1938052083641222,0.9297764858882517,0.875
1.2252211349000202,0.9408807689542258,0.875
1.2566370614359181,0.9510565162951539,0.875
1.288052987971816,0.9602936856769433,0.875
1.319468914507714,0.9685831611286313,0.875
1.350884841043612,0.9759167619387477,0.875
1.38230076757951,0.9822872507286888,0.875
1.413716694115408,0.9876883405951379,0.875
1.445132620651306,0.992114701314478,0.875
1.476548547187204,0.9955619646030801,0.875
1.507964473723102,0.9980267284282717,0.875
1.539380400259,0.9995065603657316,0.875
1.570796326794898,1,0.875
1.6022122533307959,0.9995065603657315,0.875
1.6336281798666938,0.9980267284282714,0.875
1.6650441064025918,0.9955619646030799,0.875
1.6964600329384898,0.9921147013144777,0.875
1.7278759594743878,0.9876883405951375,0.875
1.7592918860102857,0.9822872507286884,0.875
1.7907078125461837,0.9759167619387471,0.875
1.8221237390820817,0.9685831611286307,0.875
1.8535396656179797,0.9602936856769426,0.875
1.8849555921538776,0.9510565162951531,0.875
1.9163715186897756,0.9408807689542249,0.875
1.9477874452256736,0.9297764858882508,0.875
1.9792033717615716,0.9177546256839804,0.875
2.0106192982974695,0.9048270524660187,0.875
2.0420352248333673,0.8910065241883671,0.875
2.073451151369265,0.8763066800438629,0.875
2.104867077905163,0.860742027003943,0.875
2.1362830044410606,0.8443279255020144,0.875
2.1676989309769583,0.8270805742745613,0.875
2.199114857512856,0.809016994374947,0.875
2.230530784048754,0.79015501237569,0.875
2.2619467105846516,0.7705132427757889,0.875
2.2933626371205493,0.7501110696304594,0.875
2.324778563656447,0.7289686274214114,0.625
2.356194490192345,0.7071067811865476,0.625
2.3876104167282426,0.6845471059286888,0.625
2.4190263432641403,0.6613118653236523,0.625
2.450442269800038,0.6374239897486902,0.625
2.481858196335936,0.6129070536529772,0.625
2.5132741228718336,0.5877852522924739,0.625
2.5446900494077314,0.5620833778521316,0.625
2.576105975943629,0.5358267949789978,0.625
2.607521902479527,0.5090414157503726,0.625
2.6389378290154246,0.48175367410171677,0.375
2.6703537555513224,0.45399049973954847,0.375
2.70176968208722,0.4257792915650745,0.375
2.733185608623118,0.3971478906347827,0.375
2.7646015351590156,0.3681245526846802,0.375
2.7960174616949134,0.3387379202452938,0.375
2.827433388230811,0.30901699437495006,0.375
2.858849314766709,0.2789911060392321,0.375
2.8902652413026066,0.24868988716485782,0.125
2.9216811678385044,0.21814324139654578,0.125
2.953097094374402,0.18738131458572807,0.125
2.9845130209103,0.1564344650402345,0.125
3.0159289474461977,0.12533323356430806,0.125
3.0473448739820954,0.09410831331851832,0.125
3.078760800517993,0.06279051952931758,0.125
3.110176727053891,0.03141075907813268,0.125
3.1415926535897887,4.563356778415361e-15,0.125
3.1730085801256864,-0.03141075907812355,-0.125
3.204424506661584,-0.06279051952930846,-0.125
3.235840433197482,-0.09410831331850925,-0.125
3.2672563597333797,-0.125333233564299,-0.125
3.2986722862692774,-0.15643446504022548,-0.125
3.330088212805175,-0.1873813145857191,-0.125
3.361504139341073,-0.21814324139653687,-0.125
3.3929200658769707,-0.248689887164849,-0.125
3.4243359924128685,-0.27899110603922334,-0.375
3.455751918948766,-0.3090169943749414,-0.375
3.487167845484664,-0.33873792024528526,-0.375
3.5185837720205617,-0.3681245526846717,-0.375
3.5499996985564595,-0.3971478906347743,-0.375
3.5814156250923572,-0.4257792915650663,-0.375
3.612831551628255,-0.4539904997395403,-0.375
3.6442474781641527,-0.4817536741017088,-0.375
3.6756634047000505,-0.5090414157503648,-0.625
3.7070793312359482,-0.53582679497899,-0.625
3.738495257771846,-0.562083377852124,-0.625
3.7699111843077437,-0.5877852522924666,-0.625
3.8013271108436415,-0.6129070536529699,-0.625
3.8327430373795393,-0.6374239897486832,-0.625
3.864158963915437,-0.6613118653236454,-0.625
3.8955748904513348,-0.6845471059286822,-0.625
3.9269908169872325,-0.7071067811865411,-0.625
3.9584067435231303,-0.7289686274214052,-0.625
